detected-text, timestamp
Roberts, 0.000000
NO, 0.000000
AS AS, 0.000000
Roberts, 0.000000
NO, 0.000000
AS, 0.000000
AS, 0.000000
TRAITORS, 0.967000
Rbert, 0.967000
TR, 0.967000
W, 0.967000
TRAITORS, 0.967000
Rbert, 0.967000
TR, 0.967000
W, 0.967000
TRAITORS, 1.968000
Rerth, 1.968000
Sha, 1.968000
TR, 1.968000
TRAITORS, 1.968000
Rerth, 1.968000
Sha, 1.968000
TR, 1.968000
TRAITORS, 2.969000
Jun Rebert, 2.969000
Sth, 2.969000
Me llr, 2.969000
TRAITORS, 2.969000
Jun, 2.969000
Rebert, 2.969000
Sth, 2.969000
Me llr, 2.969000
TRAITORS, 3.970000
9 Robert, 3.970000
Shf Slell, 3.970000
Meller, 3.970000
TRAITORS, 3.970000
9, 3.970000
Slell, 3.970000
Robert, 3.970000
Shf, 3.970000
Meller, 3.970000
TRAITORS, 4.971000
Rebert, 4.971000
Swll, 4.971000
Me ller, 4.971000
TRAITORS, 4.971000
Swll, 4.971000
Rebert, 4.971000
Me ller, 4.971000
TRAITODS, 5.972000
iha Mveller, 5.972000
Rebrrte, 5.972000
IM, 5.972000
UMP, 5.972000
TRAITODS, 5.972000
iha, 5.972000
Rebrrte, 5.972000
Mveller, 5.972000
IM, 5.972000
UMP, 5.972000
TRAITORS, 6.973000
Jhn Robert, 6.973000
MA Mve llee Sh, 6.973000
GOD, 6.973000
TRAITORS, 6.973000
Jhn, 6.973000
Robert, 6.973000
MA, 6.973000
Sh, 6.973000
Mve llee, 6.973000
GOD, 6.973000
TRAITORS, 7.974000
John Rabert, 7.974000
Pad Mve llee, 7.974000
Mih Swabeell, 7.974000
D, 7.974000
UNS, 7.974000
TRAITORS, 7.974000
John, 7.974000
Rabert, 7.974000
Pad, 7.974000
Mih, 7.974000
Swabeell, 7.974000
Mve llee, 7.974000
D, 7.974000
UNS, 7.974000
TAIto, 8.975000
TAIto, 8.975000
TRAITORS, 9.976000
TRAITORS, 9.976000
TRAITORS, 10.977000
Rebert, 10.977000
Mins Mveller, 10.977000
TRAITORS, 10.977000
Rebert, 10.977000
Mins, 10.977000
Mveller, 10.977000
TRAITORS, 11.978000
Raberts, 11.978000
Ryan, 11.978000
L, 11.978000
TRAITORS, 11.978000
Raberts, 11.978000
Ryan, 11.978000
L, 11.978000
TRAITORS, 12.979000
John Rebert, 12.979000
JM, 12.979000
TRAITORS, 12.979000
John, 12.979000
Rebert, 12.979000
JM, 12.979000
TRAITORS, 13.980000
Rcberts, 13.980000
Mveller, 13.980000
Corey, 13.980000
2020, 13.980000
JM, 13.980000
W, 13.980000
TRAITORS, 13.980000
Rcberts, 13.980000
Mveller, 13.980000
Corey, 13.980000
2020, 13.980000
JM, 13.980000
W, 13.980000
TRAITORS, 14.981000
Rberts, 14.981000
Mia, 14.981000
Mve ller, 14.981000
Coney, 14.981000
20, 14.981000
JM, 14.981000
TRAITORS, 14.981000
Mia, 14.981000
Rberts, 14.981000
Mve ller, 14.981000
Coney, 14.981000
20, 14.981000
JM, 14.981000
TRAITORS, 15.982000
Rebert, 15.982000
Pad, 15.982000
Mveller, 15.982000
TRAITORS, 15.982000
Rebert, 15.982000
Pad, 15.982000
Mveller, 15.982000
TRAITORS, 16.015000
5, 16.015000
Jcha Roberts, 16.015000
Pay!, 16.015000
Sehf, 16.015000
Mve ller, 16.015000
TRAITORS, 16.015000
5, 16.015000
Jcha, 16.015000
Roberts, 16.015000
Pay!, 16.015000
Sehf, 16.015000
Mve ller, 16.015000
TRAITORS, 16.983000
Rebert, 16.983000
Pay, 16.983000
Swlell, 16.983000
Mellec, 16.983000
Coney, 16.983000
TRAITORS, 16.983000
Rebert, 16.983000
Pay, 16.983000
Swlell, 16.983000
Mellec, 16.983000
Coney, 16.983000
